ID,Jokes / Bits / Puns / One-liners,Rating,Split,Source,Type
1,"How was the wedding? Sorry, I missed it. I'm sorry, I wanted to be there but I realized it's 6,000 miles away and I don't know you.",1,Few-shot,Conan Surprises Japanese Fans,Improv
2,El vuelo de Los Ángeles a la Ciudad de México solo tarda tres horas y media. Pero el taxi del aeropuerto a mi hotel tardó dos días.,1,Few-shot,Conan Tries Out His Spanish-Language Jokes,Improv
3,"I don't even like going to Chinese restaurants with some of my friends anymore. Cause this is what they do to me everytime. They like, ""Jimmy, you speak Chinese? You speak Chinese?! Yeah? Yeah? Order in Chinese bro! They gonna hook it up! Order in Chinese! Bro! Order in Chinese, bro."" I'm like, ""Bro...we're at Panda Express.""",1,Few-shot,Jimmy Doesn't Go To Chinese Restaurants Anymore.,Stand-up
4,"Who doesn't want to help a child? Let's save five children...One, two, three, four, five. Not so fast. Just five.",1,Few-shot,Key & Peele: Do you have a moment to save the children?,Sketch
5,Marriage is a wonderful journey. 50% end in divorce.,1,Few-shot,Key & Peele: Saddest sibling rivalry of all time,Sketch
6,"Mecca and Medina are basically the Muslim Infinity Stones of holiness. At least once in our lives, we have to go to Mecca to make pilgrimage aka Hajj. It's like Coachella, except you can't get annoyed when people say they had a really religious experience.",1,Few-shot,Saudi Arabia | Patriot Act with Hasan Minhaj | Netflix,Observational
7,Nothing triples that fast...except the number of songs Kanye writes about Jesus.,1,Few-shot,Why Billionaires Won’t Save Us | Patriot Act with Hasan Minhaj | Netflix,Observational
8,"A student in Texas who is nicknamed ""White Lightning"" set a high school record by running the hundred-meter dash in 9.98 seconds. Coincidentally, people call me ""White Lightning"" because I also finish in under ten seconds.",1,Few-shot,Weekend Update: Colin Jost and Michael Che Switch Jokes - SNL,Blue comedy
9,"Please, don't call me sir. Call me ma'am.",1,Few-shot,Conan Joins The Explosive Ordnance Disposal Division | CONAN on TBS,Wits
10,Can I say you're the best-dressed soldier I have ever seen in my life? You're like a Janet Jackson backup dancer. It's incredible. He looks amazing.,1,Few-shot,Conan Stars In North Korea’s First Late Night Talk Show | CONAN on TBS,Improv
11,California is bone dry! It looked like a trailer for the new Mad Max movie up in there! Y'all think that Bradley Cooper came here because he wants to talk to Chuck Todd? He needed a glass of water!,1,Few-shot,CLIP: President Obama's Anger Translator (C-SPAN),Sketch
12,"And who are you, my little friend? Not a spoon...not a fork...but something in between. A ""fpoon.""",1,Few-shot,Key & Peele - Continental Breakfast,Sketch
13,I wish I was high on pot-enuse.,1,Few-shot,The Funniest Kid in School (feat. Gabriel Iglesias) - Key & Peele,Sketch
14,"I love listening to hip-hop music but what happened to hip-hop, man? Is it just me or [are] all rappers getting uglier? You know what I'm sayin'? Back in the day, we had good lookin' people like LL Cool J, Tupac, stars, you know? Now we got Lil Wayne. Lil Wayne looks like a gremlin that got raped by a tattoo gun.",1,Few-shot,How to start beef with Lil Wayne - Jimmy O. Yang,Stand-up
15,"People love to brag about how much money they spend. Asian people on the other hand? We do the exact opposite. We love to brag about how little money we spent on some s—. Because the art is in the savings. You never pay full price! Like my mom: her catchphrase is, ""Guess how much?""",1,Few-shot,How Asians Brag About Money - Jimmy O. Yang,Stand-up
16,"How did us teaching Diana to drive turn into I'm a male prostitute, you're going to put me out, and you're going to come back in an hour, and you want your trap full?",1,Few-shot,"Ice Cube, Kevin Hart And Conan Help A Student Driver | CONAN on TBS",Improv
17,Only have sex with someone if they are definitely into it. That would kill my sex life with my wife.,1,Few-shot,Conan & Nick Kroll Teach A Sex Ed Class | CONAN on TBS,Improv
18,I find you TDS.,1,Few-shot,Conan Forces Jordan Schlansky To Clean His Filthy Office | CONAN on TBS,Improv
19,"You could not hide a coffee machine better. If Osama Bin Laden was cringing near this coffee machine, he'd be alive today because no one would ever have found him.",1,Few-shot,Conan Busts Jordan Schlansky & His Elitist Espresso Machine | CONAN on TBS,Improv
20,"Body ten, face ten. That's my weakness.",1,Few-shot,Wendell May Not Really Be Addicted to Sex - Key & Peele,Sketch
21,"Hey, I am Conan O'Brien and I'm honored to be the last human host of the Academy Awards. Yes! Yeah! Next year, it's going to be a Waymo in a tux.",1,Few-shot,Oscars 2026: Conan O'Brien's opening monologue,Observational
22,"I'm pretty sure it was Diddy that posted a picture of himself...but he was on a bike, and he was just riding his bike, and then 50 Cent commented, ""You know he's smiling cause there's no seat on that bike.""",1,Few-shot,Diddy’s Collapse - Untouchable To Indicted,Stand-up
23,"Multiple women have posted videos on TikTok claiming that while walking the streets of New York they were randomly punched by men. Well, then damn, get the hell out of my way, b—h. And speaking of b—hes, I want to call up the biggest b—h of all, Kendrick Lamar. Or should I say the littlest? Your war with Drake may be over, but your war with Michael Che is just beginning. So to quote Hamilton, ""shoot your shot, player.""",1,Few-shot,Weekend Update: Colin Jost and Michael Che Swap Jokes for Season 49 Finale - SNL,Insult
24,"Wait, there's a girl named Ciri? Is she the same one that tells you information on the iPhone? Are we sure there's not a tie-in? It's very suspicious to me that the Witcher befriends someone who happens to be the voice of the iPhone. And he does it with his pet crow Google.",1,Few-shot,"Clueless Gamer: Conan Reviews ""The Witcher 3: Wild Hunt"" | CONAN on TBS",Improv
25,Why do you have athletic soles on your wingtips?,1,Few-shot,Bill Burr Roasts Conan's Shoes,Insult
26,"For China's 1.4 billion citizens and 800 million Internet users, censorship is just part of life. China is so good at censorship, they gave themselves five stars.",1,Few-shot,Saudi Arabia + Censorship In China | Patriot Act with Hasan Minhaj | Netflix,Observational
27,"If you want to shine like the sun, first you have to burn like it. Wow, I actually love that last quote. Did you just come up with that?
No, it’s a famous Hitler quote, Colin. And it’s your new quote too.",1,Few-shot,Weekend Update Guru Genesis Fry on Mental Health - SNL,Improv
28,You lied about your mom dying in 911. I think I said 7 Eleven.,1,Few-shot,Weekend Update: Colin Jost Interviews Rep. George Santos - SNL,Improv
29,"Good morning and congratulations to the Dartmouth class of 2011. Today, you have achieved something special. Something only 92% of Americans your age will ever know: a college diploma. That's right. With your college diploma, you now have a crushing advantage over 8% of the workforce. I'm talking about dropout losers like Bill Gates, Steve Jobs, and Mark Zuckerberg.",1,Few-shot,Conan O'Brien's 2011 Dartmouth College Commencement Address | CONAN on TBS,Observational
30,"Any of you guys speak Cantonese here? A couple of you guys. I was born in Hong Kong. That's my first language. I love that language, right? I think it's the most fun language to speak because it's the most fun language to cuss in. In Cantonese, you can just, like, low key casually cuss. Like, you go to Chinatown, you see, like, a nice old man walk by. He would just be like, ""diu lei lo mo ham ga chan."" Right, that sounds really nice, right? But what he actually said was like, ""Oh, f— your mother. I hope your whole family dies."" That's Cantonese, man.",1,Few-shot,Why Jimmy O. Yang Loves Cantonese,Observational
31,"I could not have a son who is 35, and also I'm worried my fake son is gonna run away with my fake wife.",1,Few-shot,"
Conan Rents A Family In Japan | CONAN on TBS",Observational
32,Kick me out of a strip club; I come back with a missile-firing chopper.,1,Few-shot,"Conan O'Brien Reviews ""Grand Theft Auto V"" | Clueless Gamer | CONAN on TBS",Improv
33,"As response to Conan being an American, Conan Town's mayor had a demand of his own. ""I want you to bring...15000 American Burgers.""",1,Few-shot,Conan Visits Conan Town In Japan | CONAN on TBS,Observational
34,"It's Halloween. my mom made us these extravagant amazing uh costumes where it was like this felt dragon.  I remember we were at my cousin's house in Michigan and I fell asleep right before they all left and nobody woke me up. I passed out cuz I'm a tired kid. I wake up to the noise of my aunt washing the dishes while clank like the clinking of of of dishes. It's it's seared into my brain. I wake up and I'm like, ""What's going on? Where did everybody go?"" They all went trick-or-treating. It had been 2 hours. And so I imagine me, I'm in a dragon costume. I went on a rampage and broke things at my aunt's house  knocking over her vases and stuff. It doesn't help that I'm Asian. So that joke really flies to the Godzilla bit.",1,Few-shot,Steven Yeun’s Traumatic Childhood Halloween | CONAN on TBS,Improv
35,"But well, by the way, I know that I look Asian but that’s because my maiden name is Chao as in Fogo de Chao. Because I’m Brazilian.",1,Few-shot,Weekend Update: Colin Jost Interviews Rep. George Santos - SNL,Improv
36,This is one of the consequences of having unprotected sex [which] is you get a baby filled with sand.,1,Few-shot,Conan & Nick Kroll Teach A Sex Ed Class | CONAN on TBS,Improv
37,"A new study shows the average American touches their mobile device more than 2,000 times a day. ""Only 2,000 times,"" said my penis.",1,Few-shot,Weekend Update: Colin Jost and Michael Che Swap Jokes - SNL,Blue comedy
